C1, 71.12, 21.59, 90.00, 0.1 uF, C0805
C2, 5.08, 36.83, 270.00, 680 uF, 140CLH-0810
C3, 27.94, 36.83, 90.00, 220 uF, 140CLH-0810
C4, 30.48, 48.26, 0.00, 100 nF, C0805
C5, 78.74, 45.72, 180.00, 0.1 uF, C0805
C6, 55.88, 11.43, 90.00, 100 nF, C0805
C7, 35.56, 11.43, 90.00, 100 nF, C0805
C8, 36.83, 48.26, 0.00, 0.1 uF, C0805
D2, 5.08, 21.59, 180.00, SS34, DIOM7959X265N
DECREASE, 26.15, 11.14, 0.00, MOMENTARYBUTTON, SPST_NO_SMD
IC1, 16.51, 32.66, 0.00, LM2596S, TO263-5
INCREASE, 46.47, 11.14, 0.00, MOMENTARYBUTTON, SPST_NO_SMD
L1, 25.40, 20.32, 0.00, 33 uH, L1812
R1, 38.10, 27.94, 90.00, 10k, R0805
R10, 88.90, 81.28, 90.00, 560, R0805
R11, 46.99, 5.08, 180.00, 1k, R0805
R12, 77.47, 27.94, 0.00, 1k, R0805
R13, 83.82, 7.62, 180.00, 1k, R0805
R14, 77.47, 7.62, 180.00, 1k, R0805
R15, 8.89, 52.07, 180.00, POTENTIOMETER, 3223G
R16, 52.07, 26.67, 90.00, 10k, R0805
R19, 90.17, 67.31, 90.00, 0.1R5W, BVS
R2, 86.36, 36.83, 270.00, 10k, R0805
R3, 67.31, 33.02, 0.00, 10k, R0805
R4, 71.12, 38.10, 270.00, 10k, R0805
R5, 60.96, 52.07, 0.00, 10k, R0805
R6, 68.58, 52.07, 0.00, 10k, R0805
R7, 71.12, 7.62, 0.00, 10k, R0805
R8, 82.55, 27.94, 0.00, 1k, R0805
R9, 26.67, 5.08, 180.00, 1k, R0805
T1, 87.66, 15.24, 0.00, , SOT-23
U$2, 91.44, 2.54, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$3, 2.54, 2.54, 0.00, FIDUCIAL, FIDUCIAL_1MM
U$4, 2.54, 92.71, 0.00, FIDUCIAL, FIDUCIAL_1MM
U1, 50.80, 36.83, 270.00, ATMEGA328PB-AU, QFP80P900X900X120-32N
